files_path,formula,miller_index,termination,ads_position,slab+H,1/2H2,slab,surface_area,Eads,workfunction
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg_001_1/H3,Mg,001,1,H3,-9.08607,-3.388,-5.51403,8.71372,0.00596,3.614
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg_001_1/H2,Mg,001,1,H2,-9.08425,-3.388,-5.51403,8.71372,0.00778,3.614
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg_001_1/H4,Mg,001,1,H4,-9.0049,-3.388,-5.51403,8.71372,0.08713,3.614
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg_001_1/H1,Mg,001,1,H1,-8.02183,-3.388,-5.51403,8.71372,1.0702,3.614
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H3,CeMg12,101,1,H3,-111.21425,-3.388,-107.57968,61.88274,-0.05657,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H9,CeMg12,101,1,H9,-111.13704,-3.388,-107.57968,61.88274,0.02064,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H5,CeMg12,101,1,H5,-111.07811,-3.388,-107.57968,61.88274,0.07957,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H4,CeMg12,101,1,H4,-111.07707,-3.388,-107.57968,61.88274,0.08061,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H8,CeMg12,101,1,H8,-111.07448,-3.388,-107.57968,61.88274,0.0832,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H7,CeMg12,101,1,H7,-110.79205,-3.388,-107.57968,61.88274,0.36563,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H6,CeMg12,101,1,H6,-110.79026,-3.388,-107.57968,61.88274,0.36742,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H1,CeMg12,101,1,H1,-110.6757,-3.388,-107.57968,61.88274,0.48198,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/CeMg12_101_1/H2,CeMg12,101,1,H2,-110.29165,-3.388,-107.57968,61.88274,0.86603,3.6314
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H6,LaMg12,001,2,H6,-236.22343,-3.388,-232.32231,107.41519,-0.32312,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H2,LaMg12,001,2,H2,-236.22314,-3.388,-232.32231,107.41519,-0.32283,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H7,LaMg12,001,2,H7,-235.91466,-3.388,-232.32231,107.41519,-0.01435,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H4,LaMg12,001,2,H4,-235.91015,-3.388,-232.32231,107.41519,-0.00984,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H8,LaMg12,001,2,H8,-235.90656,-3.388,-232.32231,107.41519,-0.00625,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H11,LaMg12,001,2,H11,-235.9014,-3.388,-232.32231,107.41519,-0.00109,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H12,LaMg12,001,2,H12,-235.802,-3.388,-232.32231,107.41519,0.09831,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H9,LaMg12,001,2,H9,-235.75212,-3.388,-232.32231,107.41519,0.14819,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H3,LaMg12,001,2,H3,-235.68684,-3.388,-232.32231,107.41519,0.21347,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H5,LaMg12,001,2,H5,-235.68011,-3.388,-232.32231,107.41519,0.2202,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H1,LaMg12,001,2,H1,-235.56693,-3.388,-232.32231,107.41519,0.33338,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/LaMg12_001_2/H10,LaMg12,001,2,H10,-235.54724,-3.388,-232.32231,107.41519,0.35307,3.2759
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H21,Mg17Al12,111,2,H21,-716.27359,-3.388,-711.88744,192.14562,-0.80815,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H13,Mg17Al12,111,2,H13,-716.2729,-3.388,-711.88744,192.14562,-0.80746,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H12,Mg17Al12,111,2,H12,-716.27286,-3.388,-711.88744,192.14562,-0.80742,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H20,Mg17Al12,111,2,H20,-716.1771,-3.388,-711.88744,192.14562,-0.71166,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H5,Mg17Al12,111,2,H5,-716.17604,-3.388,-711.88744,192.14562,-0.7106,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H9,Mg17Al12,111,2,H9,-716.17582,-3.388,-711.88744,192.14562,-0.71038,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H6,Mg17Al12,111,2,H6,-716.05249,-3.388,-711.88744,192.14562,-0.58705,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H7,Mg17Al12,111,2,H7,-716.01873,-3.388,-711.88744,192.14562,-0.55329,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H17,Mg17Al12,111,2,H17,-715.95918,-3.388,-711.88744,192.14562,-0.49374,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H19,Mg17Al12,111,2,H19,-715.94968,-3.388,-711.88744,192.14562,-0.48424,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H15,Mg17Al12,111,2,H15,-715.93913,-3.388,-711.88744,192.14562,-0.47369,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H8,Mg17Al12,111,2,H8,-715.92799,-3.388,-711.88744,192.14562,-0.46255,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H18,Mg17Al12,111,2,H18,-715.89421,-3.388,-711.88744,192.14562,-0.42877,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H2,Mg17Al12,111,2,H2,-715.8631,-3.388,-711.88744,192.14562,-0.39766,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H16,Mg17Al12,111,2,H16,-715.86007,-3.388,-711.88744,192.14562,-0.39463,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H14,Mg17Al12,111,2,H14,-715.84445,-3.388,-711.88744,192.14562,-0.37901,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H11,Mg17Al12,111,2,H11,-715.84326,-3.388,-711.88744,192.14562,-0.37782,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H4,Mg17Al12,111,2,H4,-715.84237,-3.388,-711.88744,192.14562,-0.37693,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H3,Mg17Al12,111,2,H3,-715.78601,-3.388,-711.88744,192.14562,-0.32057,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H10,Mg17Al12,111,2,H10,-715.67444,-3.388,-711.88744,192.14562,-0.209,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H22,Mg17Al12,111,2,H22,-715.51492,-3.388,-711.88744,192.14562,-0.04948,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg17Al12_111_2/H1,Mg17Al12,111,2,H1,-715.46158,-3.388,-711.88744,192.14562,0.00386,3.77038
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H3,Mg2Al3,001,5,H3,-202.7077,-3.388,-199.08895,41.53417,-0.04075,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H2,Mg2Al3,001,5,H2,-202.61058,-3.388,-199.08895,41.53417,0.05637,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H1,Mg2Al3,001,5,H1,-202.61058,-3.388,-199.08895,41.53417,0.05637,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H4,Mg2Al3,001,5,H4,-202.58379,-3.388,-199.08895,41.53417,0.08316,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H5,Mg2Al3,001,5,H5,-202.58275,-3.388,-199.08895,41.53417,0.0842,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Mg2Al3_001_5/H6,Mg2Al3,001,5,H6,-202.168,-3.388,-199.08895,41.53417,0.49895,3.57536
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/NdMg3_111_1/H2,NdMg3,111,1,H2,-56.09692,-3.388,-52.82256,23.82765,0.31364,2.9989
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/NdMg3_111_1/H4,NdMg3,111,1,H4,-56.0529,-3.388,-52.82256,23.82765,0.35766,2.9989
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/NdMg3_111_1/H1,NdMg3,111,1,H1,-55.95908,-3.388,-52.82256,23.82765,0.45148,2.9989
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/NdMg3_111_1/H3,NdMg3,111,1,H3,-55.71493,-3.388,-52.82256,23.82765,0.69563,2.9989
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Y5Mg24_100_1/H7,Y5Mg24,100,1,H7,-425.75793,-3.388,-421.79534,127.1816,-0.38459,3.29814
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Y5Mg24_100_1/H5,Y5Mg24,100,1,H5,-425.75406,-3.388,-421.79534,127.1816,-0.38072,3.29814
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Y5Mg24_100_1/H3,Y5Mg24,100,1,H3,-425.68061,-3.388,-421.79534,127.1816,-0.30727,3.29814
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Y5Mg24_100_1/H8,Y5Mg24,100,1,H8,-425.63529,-3.388,-421.79534,127.1816,-0.26195,3.29814
/lustre/home/acct-umjzhh/umjzhh-3/wyw/i0/ads_ht_revised_response/Y5Mg24_100_1/H2,Y5Mg24,100,1,H2,-425.35717,-3.388,-421.79534,127.1816,0.01617,3.29814
